ICD-10 code	ICD-10 code description	ICD-10 group	Ideation or action	Past or present 
T37.8X2S	Poisoning by other systemic anti-infect/parasit, Self-harm, sequela	self_harm	action	present
T37.92	Poisoning by unspecified systemic anti-infect and antiparastc, Self-harm	self_harm	action	present
T37.92XA	Poisoning by unspecified sys anti-infect and antiparastc, Self-harm, initial	self_harm	action	present
T37.92XD	Poisoning by unspecified sys anti-infect and antiparastc, Self-harm, subsequent	self_harm	action	past
T37.92XD	Poisoning by unspecified sys anti-infect and antiparastc, Self-harm, subsequent	self_harm	action	present
T37.92XS	Poisoning by unspecified sys anti-infect and antiparastc, Self-harm, sequela	self_harm	action	past
T37.92XS	Poisoning by unspecified sys anti-infect and antiparastc, Self-harm, sequela	self_harm	action	present
T38.0X2	Poisoning by glucocort/synth analog, intentional self-harm	self_harm	action	present
T38.0X2A	Poisoning by glucocort/synth analog, self-harm, initial	self_harm	action	present
T38.0X2D	Poisoning by glucocort/synth analog, self-harm, subsequent	self_harm	action	past
T38.0X2D	Poisoning by glucocort/synth analog, self-harm, subsequent	self_harm	action	present
T38.0X2S	Poisoning by glucocort/synth analog, self-harm, sequela	self_harm	action	past
T38.0X2S	Poisoning by glucocort/synth analog, self-harm, sequela	self_harm	action	present
T38.1X2	Poisoning by thyroid hormones and substitutes, self-harm	self_harm	action	present
T38.1X2A	Poisoning by thyroid hormones and sub, self-harm, initial	self_harm	action	present
T38.1X2D	Poisoning by thyroid hormones and sub, self-harm, subsequent	self_harm	action	past
T38.1X2D	Poisoning by thyroid hormones and sub, self-harm, subsequent	self_harm	action	present
T38.1X2S	Poisoning by thyroid hormones and sub, self-harm, sequela	self_harm	action	past
T38.1X2S	Poisoning by thyroid hormones and sub, self-harm, sequela	self_harm	action	present
T38.2X2	Poisoning by antithyroid drugs, intentional self-harm	self_harm	action	present
T38.2X2A	Poisoning by antithyroid drugs, intentional self-harm, initial	self_harm	action	present
T38.2X2D	Poisoning by antithyroid drugs, intentional self-harm, subsequent	self_harm	action	past
T38.2X2D	Poisoning by antithyroid drugs, intentional self-harm, subsequent	self_harm	action	present
T38.2X2S	Poisoning by antithyroid drugs, self-harm, sequela	self_harm	action	past
T38.2X2S	Poisoning by antithyroid drugs, self-harm, sequela	self_harm	action	present
T38.3X2	Poisoning by insulin and oral hypoglycemic drugs, self-harm	self_harm	action	present
T38.3X2A	Poisoning by insulin and oral hypoglycemic drugs, Self-harm, initial	self_harm	action	present
T38.3X2D	Poisoning by insulin and oral hypoglycemic drugs, Self-harm, subsequent	self_harm	action	past
T38.3X2D	Poisoning by insulin and oral hypoglycemic drugs, Self-harm, subsequent	self_harm	action	present
T38.3X2S	Poisoning by insulin and oral hypoglycemic drugs, Self-harm, sequela	self_harm	action	past
T38.3X2S	Poisoning by insulin and oral hypoglycemic drugs, Self-harm, sequela	self_harm	action	present
T38.4X2	Poisoning by oral contraceptives, intentional self-harm	self_harm	action	present
T38.4X2A	Poisoning by oral contraceptives, self-harm, initial	self_harm	action	present
T38.4X2D	Poisoning by oral contraceptives, self-harm, subsequent	self_harm	action	past
T38.4X2D	Poisoning by oral contraceptives, self-harm, subsequent	self_harm	action	present
T38.4X2S	Poisoning by oral contraceptives, self-harm, sequela	self_harm	action	past
T38.4X2S	Poisoning by oral contraceptives, self-harm, sequela	self_harm	action	present
T38.5X2	Poisoning by other estrogens and progestogens, self-harm	self_harm	action	present
T38.5X2A	Poisoning by other estrogens and progestogens, self-harm, initial	self_harm	action	present
T38.5X2D	Poisoning by other estrogens and progestogens, self-harm, subsequent	self_harm	action	past
T38.5X2D	Poisoning by other estrogens and progestogens, self-harm, subsequent	self_harm	action	present
T38.5X2S	Poisoning by other estrogens and progstrn, self-harm, sequela	self_harm	action	past
T38.5X2S	Poisoning by other estrogens and progstrn, self-harm, sequela	self_harm	action	present
T38.6X2	Poisoning by antigonadtr/antiestr/antiandrg, NEC, self-harm	self_harm	action	present
T38.6X2A	Poisoning by antigonadtr/antiestr/antiandrg, NEC, Self-harm, initial	self_harm	action	present
T38.6X2D	Poisoning by antigonadtr/antiestr/antiandrg, NEC, Self-harm, subsequent	self_harm	action	past
T38.6X2D	Poisoning by antigonadtr/antiestr/antiandrg, NEC, Self-harm, subsequent	self_harm	action	present
T38.6X2S	Poisoning by antigonadtr/antiestr/antiandrg, NEC, Self-harm, sequela	self_harm	action	past
T38.6X2S	Poisoning by antigonadtr/antiestr/antiandrg, NEC, Self-harm, sequela	self_harm	action	present
T38.7X2	Poisoning by androgens and anabolic congeners, self-harm	self_harm	action	present
T38.7X2A	Poisoning by androgens and anabolic congeners, self-harm, initial	self_harm	action	present
T38.7X2D	Poisoning by androgens and anabolic congeners, self-harm, subsequent	self_harm	action	past
T38.7X2D	Poisoning by androgens and anabolic congeners, self-harm, subsequent	self_harm	action	present
T38.7X2S	Poisoning by androgens and anabolic congeners, Self-harm, sequela	self_harm	action	past
T38.7X2S	Poisoning by androgens and anabolic congeners, Self-harm, sequela	self_harm	action	present
T38.802	Poisoning by unspecified hormones and synthetic sub, self-harm	self_harm	action	present
T38.802A	Poisoning by unspecified hormones and synthetic sub, self-harm, initial	self_harm	action	present
T38.802D	Poisoning by unspecified hormones and synthetic sub, self-harm, subsequent	self_harm	action	past
T38.802D	Poisoning by unspecified hormones and synthetic sub, self-harm, subsequent	self_harm	action	present
T38.802S	Poisoning by unspecified hormones and synthetic sub, self-harm, sequela	self_harm	action	past
T38.802S	Poisoning by unspecified hormones and synthetic sub, self-harm, sequela	self_harm	action	present
T38.812	Poisoning by anterior pituitary hormones, self-harm	self_harm	action	present
T38.812A	Poisoning by anterior pituitary hormones, self-harm, initial	self_harm	action	present
T38.812D	Poisoning by anterior pituitary hormones, self-harm, subsequent	self_harm	action	past
T38.812D	Poisoning by anterior pituitary hormones, self-harm, subsequent	self_harm	action	present
T38.812S	Poisoning by anterior pituitary hormones, self-harm, sequela	self_harm	action	past
T38.812S	Poisoning by anterior pituitary hormones, self-harm, sequela	self_harm	action	present
T38.892	Poisoning by other hormones and synthetic sub, self-harm	self_harm	action	present
T38.892A	Poisoning by other hormones and synthetic sub, self-harm, initial	self_harm	action	present
T38.892D	Poisoning by other hormones and synthetic sub, self-harm, subsequent	self_harm	action	past
T38.892D	Poisoning by other hormones and synthetic sub, self-harm, subsequent	self_harm	action	present
T38.892S	Poisoning by other hormones and synthetic sub, self-harm, sequela	self_harm	action	past
T38.892S	Poisoning by other hormones and synthetic sub, self-harm, sequela	self_harm	action	present
T38.902	Poisoning by unspecified hormone antagonists, intentional self-harm	self_harm	action	present
